ID,marka,naw3,9at3a,khochn,toul,3ordh,R,G,B,soum
44,Bey&Bey,mta3 a3res,sabbat,1.051666667,80.8,56,149,27,31,556
45,Bey&Bey,formel,maryoul,1.055,45.6,56,125,22,26,107.2
46,Armani,classy,t-shirt,1.033333333,121.6,59,174,31,36,825.8
47,Zen,sport,maryoul,1.04,31.2,58,110,20,23,68.4
48,Zen,sport,serwel,1.051666667,80.8,55,151,27,32,350.7
49,Zen,sport,maryoul,1.001666667,44,61,126,22,25,131.6
50,HA,confy,sabbat,1.003333333,24,57,103,18,21,84.4
51,HA,posé,socks,1.008333333,26.4,56,107,19,21,95.9
52,Zen,formel,t-shirt,1.023333333,41.6,57,122,22,25,128.2
53,Armani,mta3 kolyoum,maryoul,0.981666667,60,60,142,25,28,310.5
54,HA,sport,t-shirt,1.02,25.6,56,104,19,21,64.5
55,Zen,confy,maryoul,1.035,80.8,56,152,28,32,546.1
56,Bey&Bey,sport,maryoul,1.063333333,108.8,55,165,30,35,763.9
57,HA,mta3 a3res,kabbout,1.01,32.8,57,114,21,23,111.5
58,Armani,mta3 kolyoum,t-shirt,0.988333333,32.8,58,115,20,23,128.6
59,Armani,mta3 kolyoum,t-shirt,1.016666667,52.8,58,134,24,27,286.1
60,Zen,confy,sabbat,1.02,56,59,135,24,27,275.7
61,HA,posé,maryoul,1.025,28.8,57,109,19,22,64.8
62,HA,confy,t-shirt,1.028333333,32,55,112,20,23,105.3
63,HA,confy,jacket,1.043333333,30.4,56,110,19,23,132.7
64,Armani,mta3 kolyoum,serwel,1.035,81.6,57,152,27,31,438.1
65,HA,confy,serwel,1.04,57.6,57,135,24,28,293.9
66,HA,mta3 kolyoum,kabbout,1.028333333,40.8,56,122,22,25,271.8
67,Zen,posé,kabbout,1.051666667,27.2,57,104,19,22,67.4
68,HA,sport,t-shirt,1.015,108,54,170,30,34,1047.1
69,Zen,mta3 kolyoum,kabbout,1.02,32.8,62,113,20,23,129.5
70,Kontakt,formel,hoodie,1.09,93.6,62,158,28,34,293.5
71,HA,formel,hoodie,1.025,80.8,57,153,27,31,284.4
72,HA,mta3 a3res,jacket,1.03,25.6,55,104,18,21,99
73,HA,mta3 a3res,sabbat,1.043333333,97.6,56,161,29,34,873.3
74,Bey&Bey,classy,maryoul,1.065,60,56,136,24,29,225
75,Bey&Bey,sport,t-shirt,1.066666667,120.8,57,173,31,37,1231.9
76,HA,mta3 kolyoum,sabbat,1.033333333,24.8,55,103,18,21,94.2
77,Bey&Bey,confy,sabbat,0.98,25.6,63,106,19,21,80.1
78,HA,formel,maryoul,1.023333333,44,54,125,23,26,107.6
79,Zen,mta3 kolyoum,maryoul,1.041666667,72,63,145,26,30,406.8
80,HA,mta3 a3res,kabbout,1.016666667,43.2,57,124,22,25,210.9
81,HA,sport,sabbat,1.021666667,82.4,57,154,28,32,698.1
82,Bey&Bey,mta3 a3res,t-shirt,1.02,41.6,62,121,21,24,171
83,Armani,posé,maryoul,1.033333333,56,61,157,24,27,217.6
84,HA,posé,sabbat,1.028333333,80.8,56,153,28,31,593.6
85,Kontakt,mta3 a3res,serwel,1.043333333,72,58,142,26,30,378.7
86,Zen,sport,kabbout,1.04,48.8,55,129,23,27,240.3
87,Zen,confy,kabbout,1.05,20,57,94,17,20,57.5
88,Zen,formel,maryoul,0.986666667,20.8,60,99,18,20,44.5
89,Armani,formel,sabbat,1.035,96,59,160,29,33,547.4
90,Zen,sport,serwel,1.021666667,160.8,60,191,35,39,1394
91,Zen,mta3 a3res,socks,0.998333333,23.2,56,103,18,20,81.5
92,Zen,classy,serwel,1.028333333,105.6,60,165,30,34,551.3
93,Kontakt,mta3 a3res,serwel,1.105,87.2,56,153,27,34,317
94,HA,sport,socks,1.04,99.2,56,162,29,34,1137.6
95,Zen,confy,kabbout,0.991666667,31.2,58,112,20,22,105.4
96,HA,confy,t-shirt,1.041666667,41.6,56,122,22,25,179.3
97,Kontakt,posé,serwel,1.081666667,160.8,56,187,33,40,1018.4
98,HA,mta3 kolyoum,maryoul,1.018333333,57.6,59,136,25,28,299.3
99,Zen,sport,sabbat,1.02,80,56,153,27,31,593.9
100,Zen,confy,serwel,1.043333333,76.8,60,148,27,31,418.6
101,Zen,classy,sabbat,1.055,42.4,56,122,22,26,112.2
102,HA,confy,maryoul,1.036666667,40.8,57,121,21,25,154.6
103,Kontakt,mta3 a3res,serwel,1.085,80,60,146,26,32,374
104,HA,confy,maryoul,1.033333333,57.6,57,135,24,28,262.6
105,HA,mta3 a3res,socks,1.03,26.4,56,104,19,21,97.8
106,HA,sport,socks,1.033333333,32.8,55,113,20,23,142.5
107,HA,formel,maryoul,1.016666667,168.8,57,198,35,40,1548.6
108,HA,mta3 kolyoum,sabbat,1.031666667,59.2,56,138,25,28,308.7
109,HA,mta3 a3res,serwel,1.036666667,42.4,53,123,22,25,107.8
110,HA,sport,t-shirt,1.01,24.8,56,103,19,21,62.7
111,Bey&Bey,mta3 kolyoum,sabbat,1.03,80.8,59,149,27,31,691.2
112,HA,confy,maryoul,1.018333333,81.6,56,154,27,31,467.5
113,HA,sport,kabbout,1.031666667,44,56,125,22,26,212.9
114,HA,mta3 a3res,serwel,1.03,83.2,56,155,28,32,463
115,Zen,sport,kabbout,1.05,72,58,144,26,30,456.5
116,Armani,confy,jacket,1.013333333,25.6,58,104,18,21,102
117,Armani,mta3 kolyoum,t-shirt,1.013333333,33.6,59,113,20,23,117.9
118,Armani,sport,t-shirt,1.033333333,24,60,102,18,21,72.5
119,HA,classy,maryoul,1.038333333,96,56,160,29,33,483
120,Armani,classy,serwel,1.036666667,99.2,58,164,29,34,466.6
121,HA,sport,sabbat,1.025,25.6,57,104,19,21,56.1
122,Armani,formel,maryoul,1.026666667,80.8,58,153,28,31,394.4
123,Zen,sport,sabbat,0.978333333,120.8,63,176,32,34,1255.1
124,Bey&Bey,posé,serwel,1.046666667,56,57,132,24,28,179
125,Armani,classy,t-shirt,1.02,121.6,59,175,31,36,836.6
126,Bey&Bey,mta3 a3res,maryoul,1.055,72,60,144,26,30,395
127,Zen,sport,t-shirt,1.013333333,24,61,102,18,21,56.5
128,Armani,classy,sabbat,1.033333333,121.6,59,172,31,36,775.8
129,Bey&Bey,sport,kabbout,1.056666667,80.8,55,150,27,32,684.3
130,Armani,mta3 kolyoum,maryoul,1.046666667,80.8,60,152,27,32,593.9
131,HA,confy,sabbat,1.023333333,42.4,56,124,22,25,181.3
132,Armani,confy,maryoul,1.02,56,57,136,24,27,277.7
133,Zen,sport,t-shirt,1.006666667,51.2,62,131,24,26,206
134,Armani,confy,sabbat,0.98,44.8,59,129,23,25,188.2
135,Zen,mta3 a3res,serwel,1.053333333,56.8,57,134,24,28,239.7
136,Zen,mta3 kolyoum,maryoul,1.046666667,28.8,57,107,19,22,61.9
137,HA,mta3 kolyoum,t-shirt,1.033333333,24.8,57,103,18,21,86.3
138,Armani,confy,jacket,1.03,24.8,59,102,18,21,78.9
139,Armani,confy,maryoul,1.045,28,57,107,19,22,78.8
140,HA,mta3 kolyoum,maryoul,1.04,40.8,57,121,22,25,154.8
141,HA,sport,kabbout,1.026666667,46.4,56,127,23,26,213.5
142,HA,posé,t-shirt,1.031666667,89.6,57,158,28,33,630.9
143,Armani,sport,kabbout,1.026666667,94.4,58,160,29,33,913.7
144,Armani,mta3 a3res,serwel,1.003333333,34.4,60,115,21,23,67.9
145,HA,mta3 a3res,jacket,1.028333333,32,57,112,20,23,120.6
146,Zen,confy,sabbat,1.026666667,100,57,163,30,34,885.1
147,Armani,mta3 a3res,maryoul,1.038333333,28.8,59,108,19,22,77
148,Zen,classy,serwel,1.048333333,81.6,59,150,27,32,375.5
149,Zen,mta3 kolyoum,serwel,1.056666667,26.4,56,105,19,22,63.1
150,Armani,mta3 a3res,sabbat,1.025,57.6,58,136,24,28,264.6
151,HA,classy,sabbat,1.025,56.8,59,135,24,28,204.7
152,HA,formel,sabbat,1.033333333,25.6,53,104,19,22,46.6
153,HA,sport,kabbout,1.035,65.6,56,141,26,29,413
154,Zen,formel,sabbat,1.006666667,64.8,63,141,25,28,261.6
155,Armani,posé,sabbat,1.008333333,108,62,170,30,34,609.3
156,Armani,sport,serwel,1.045,76.8,60,149,26,31,321.5
157,Armani,confy,maryoul,1.021666667,56,58,135,24,27,277.7
158,HA,mta3 kolyoum,maryoul,1.043333333,72,55,144,26,30,481.9
159,HA,sport,jacket,1.03,122.4,55,176,32,36,1599.2
160,Zen,mta3 a3res,jacket,1.038333333,38.4,55,119,21,25,191.4
161,Zen,posé,sabbat,1.011666667,31.2,56,113,20,23,66.1
162,HA,sport,socks,1.028333333,24.8,55,103,19,21,89.1
163,HA,mta3 a3res,maryoul,1.026666667,56,56,136,24,28,231.9
164,Zen,confy,sabbat,1.043333333,80.8,56,151,27,32,604.3
165,HA,mta3 a3res,kabbout,1.033333333,27.2,54.2,106,19,22,84.6
166,HA,mta3 kolyoum,t-shirt,1.028333333,59.2,55,138,25,28,374.6
167,Zen,sport,kabbout,1.015,100.8,56,165,30,34,1002
168,Armani,classy,maryoul,1.008333333,120,59,175,32,36,680.6
169,HA,posé,sabbat,1.036666667,25.6,57,103,18,21,50.5
170,HA,mta3 a3res,sabbat,1.016666667,86.4,57,156,28,32,778.1
171,Kontakt,formel,sabbat,1.073333333,73.6,58,145,26,31,303.3
172,HA,sport,kabbout,1.021666667,32.8,56,113,20,23,100.7
173,Zen,mta3 kolyoum,maryoul,1.045,72,56,145,26,30,438.1
174,HA,mta3 a3res,sabbat,1.028333333,85.6,57,154,28,32,864
175,HA,mta3 a3res,sabbat,1.035,83.2,57,153,28,32,669.2
176,Armani,posé,serwel,1.045,105.6,58,167,30,35,643.1
177,Bey&Bey,mta3 a3res,maryoul,1.07,40.8,59,119,21,25,140.6
178,Armani,formel,maryoul,1.021666667,89.6,58,158,28,32,407.7
179,HA,posé,sabbat,1.03,89.6,55,157,29,33,611
180,HA,formel,sabbat,1.031666667,130.4,54.3,179,32,37,1101.9
181,Zen,sport,maryoul,1.031666667,32,55,111,20,23,68.2
182,HA,confy,maryoul,0.981666667,82.4,57,157,28,31,487.3
183,Armani,formel,sabbat,1.036666667,65.6,59,141,26,29,269.2
184,HA,sport,socks,1.025,27.2,56,107,19,22,95.2
185,HA,mta3 kolyoum,kabbout,1.018333333,32.8,56,114,20,23,118.1
186,Armani,sport,sabbat,1.025,140.8,58,184,33,38,1687.9
187,HA,confy,sabbat,1.033333333,24.8,55,102,18,21,68
188,HA,sport,jacket,1.035,87.2,55,156,28,32,877.8
189,HA,confy,serwel,1.03,32.8,54,113,20,23,62.5
190,Armani,confy,serwel,0.99,87.2,60,161,29,32,444.4
191,Armani,sport,t-shirt,1.02,24.8,60,102,18,21,80.2
192,Bey&Bey,mta3 a3res,maryoul,1.063333333,34.4,57,114,20,24,94.8
193,Armani,sport,sabbat,1.046666667,56.8,58,136,24,28,251.5
194,Zen,mta3 kolyoum,maryoul,1.023333333,42.4,57,123,22,25,163.1
195,Bey&Bey,formel,serwel,1.016666667,161.6,62,192,35,39,1292.7
196,HA,posé,sabbat,1.03,41.6,56,123,22,25,157.3
197,HA,formel,t-shirt,1.036666667,104.8,57,166,30,34,775.1
198,HA,posé,sabbat,1.01,80.8,57,155,28,31,531.7
199,Armani,sport,kabbout,1.02,24,59,103,18,21,87.8
200,HA,sport,sabbat,1.021666667,136,57,182,32,37,1594.1
201,HA,posé,kabbout,1.03,24.8,56,103,18,21,80.2
202,Zen,sport,maryoul,1.056666667,28,56,106,19,22,66.9
203,Zen,formel,t-shirt,0.995,160.8,63,195,35,39,1775.1
204,HA,confy,sabbat,1.023333333,64,56,141,26,29,397.2
205,Zen,mta3 a3res,serwel,1.056666667,72,59,144,26,30,360.5
206,HA,mta3 kolyoum,serwel,1.005,164.8,56,196,35,40,1837.1
207,Zen,confy,maryoul,0.976666667,80.8,58,154,28,30,476.6
208,Bey&Bey,formel,maryoul,1.058333333,25.6,57,102,18,21,42.1
209,Armani,mta3 a3res,jacket,0.998333333,24.8,59,105,19,21,94
210,Zen,mta3 a3res,maryoul,1.058333333,56,59,132,24,28,226.4
211,Armani,mta3 kolyoum,maryoul,0.991666667,100.8,59,169,30,33,790.3
212,Zen,posé,sabbat,1.01,25.6,58,105,19,21,50.5
213,HA,confy,jacket,1.041666667,24,57,101,18,21,86.2
214,Zen,confy,maryoul,1.013333333,40.8,55,122,22,25,131.8
215,HA,posé,t-shirt,1.026666667,90.4,55,159,29,33,757.1
216,Bey&Bey,formel,serwel,1.063333333,75.2,60,145,26,31,313.4
217,Armani,confy,sabbat,1.043333333,24.8,58,101,18,21,68
218,Armani,sport,sabbat,1.05,80,59,153,27,32,596.7
219,HA,sport,kabbout,1.016666667,84.8,57,155,28,32,804.4
220,Armani,sport,hoodie,1.038333333,121.6,60,174,31,36,434.5
221,Zen,posé,jacket,1.055,24,59,101,18,21,87.8
222,Armani,mta3 a3res,serwel,1.008333333,60.8,60,140,25,28,249.1
223,Zen,posé,sabbat,1.043333333,72,58,145,26,31,398.9
224,HA,formel,serwel,1.023333333,123.2,55,178,32,36,599.4
225,Armani,posé,serwel,1.018333333,80.8,59,155,27,31,424.2
226,HA,mta3 a3res,jacket,1.006666667,25.6,57,104,19,21,85.4
227,Armani,mta3 a3res,serwel,1.04,160.8,58,191,34,40,1427.9
228,HA,sport,maryoul,1.033333333,80,57,151,27,31,495.6
229,Zen,confy,t-shirt,1.05,80,56,151,27,32,745.3
230,Armani,confy,sabbat,1.021666667,56.8,59,135,24,28,263
231,Zen,mta3 kolyoum,serwel,1.03,160.8,59,191,35,40,1707.9
232,HA,sport,jacket,1,44,56,127,23,25,207.7
233,HA,formel,t-shirt,1.021666667,21.6,57,98,18,20,43.2
234,HA,posé,serwel,1.03,172,57,197,35,40,1721.9
235,Zen,formel,maryoul,1.048333333,124.8,58,173,31,36,758.4
236,Armani,sport,t-shirt,1.045,80.8,58,151,27,31,633.5
237,HA,mta3 a3res,t-shirt,1.031666667,25.6,56,104,19,21,71.6
238,Zen,sport,sabbat,1.053333333,52,57,131,23,27,200.9
239,Armani,confy,maryoul,1.013333333,90.4,58,160,29,32,517.9
240,Zen,posé,sabbat,1.035,72,57,146,26,30,398.9
241,HA,mta3 kolyoum,maryoul,1.023333333,44.8,57,126,23,26,172.3
242,Armani,mta3 a3res,serwel,1.028333333,167.2,59,194,35,40,1784
243,HA,mta3 kolyoum,sabbat,1.018333333,43.2,57,123,22,25,189.2
244,Bey&Bey,sport,t-shirt,1.051666667,27.2,57,104,19,22,68.6
245,Armani,mta3 a3res,maryoul,1.026666667,56,58,135,24,28,244.1
246,Zen,mta3 kolyoum,maryoul,1,40.8,58,123,22,25,138
247,HA,formel,serwel,1.033333333,72,56,147,26,30,294.8
248,Zen,mta3 a3res,sabbat,1.058333333,96.8,55,160,29,34,792.8
249,Zen,sport,jacket,1.045,61.6,54,138,25,29,396.6
250,Zen,mta3 a3res,t-shirt,1.028333333,59.2,57,137,25,28,322.6
251,HA,sport,serwel,1.028333333,88.8,57,157,28,33,529.9
252,Armani,posé,maryoul,1.02,80.8,58,153,27,31,464.2
253,HA,confy,kabbout,1.036666667,20.8,56,98,17,20,76.9
254,Armani,posé,serwel,1.02,87.2,62,157,28,32,439.5
255,Armani,classy,maryoul,1.028333333,137.6,58,183,33,38,832.4
256,HA,confy,kabbout,1.026666667,32,56,112,20,23,114.5
257,Bey&Bey,posé,kabbout,1.101666667,40,58,115,21,25,121.4
258,Armani,confy,t-shirt,1.026666667,26.4,58,105,19,21,100.2
259,HA,mta3 a3res,socks,1.038333333,24,55,102,18,21,88.6
260,HA,confy,socks,1.038333333,25.6,54,103,19,21,101.8
261,HA,posé,sabbat,1.026666667,64.8,56,143,25,29,308.4
262,Armani,posé,maryoul,1.038333333,102.4,58,166,30,34,694.6
263,HA,mta3 a3res,t-shirt,1.031666667,80,57,152,27,31,752.6
264,Armani,mta3 a3res,serwel,1.015,48.8,58,131,23,26,140.1
265,HA,mta3 kolyoum,maryoul,1.01,27.2,56,107,19,21,80.3
266,Zen,sport,sabbat,1.063333333,72,58,144,26,31,440
267,Zen,mta3 a3res,socks,0.991666667,18.4,58,94,17,19,53
268,Zen,formel,t-shirt,1.031666667,146.4,57,186,34,39,1358.7
269,Zen,sport,serwel,1.048333333,85.6,59,154,28,33,432.1
270,Zen,sport,t-shirt,1.046666667,26.4,58,103,19,22,66.6
271,Zen,confy,sabbat,1.003333333,40.8,62,122,22,25,139.3
272,Armani,mta3 a3res,sabbat,1.04,80.8,58,152,27,31,609.7
273,Armani,classy,serwel,1.046666667,160.8,58,192,34,40,1240.7
274,Armani,sport,t-shirt,0.971666667,109.6,60,174,31,34,1041.2
275,HA,mta3 a3res,serwel,1.031666667,60.8,57,139,25,29,240.3
276,Armani,confy,maryoul,1.015,32,56,113,20,23,94.5
277,Armani,mta3 a3res,serwel,0.998333333,72,59,150,27,30,380.3
278,HA,formel,maryoul,1.036666667,24.8,56,103,18,21,41.8
279,HA,mta3 kolyoum,maryoul,1.045,24.8,56,102,18,21,57.1
280,Armani,formel,serwel,1.033333333,132,59,180,32,37,859
281,Zen,sport,t-shirt,1.046666667,80.8,59,150,27,31,649.9
282,Armani,sport,serwel,1.046666667,116.8,52,173,31,36,542.1
283,Armani,sport,maryoul,1.008333333,47.2,59,129,23,26,143.7
284,Bey&Bey,sport,t-shirt,0.968333333,36,61.2,119,21,23,115.4
285,HA,confy,maryoul,1.045,51.2,57,131,23,27,185.9
286,Zen,posé,sabbat,1.03,56,58,133,24,28,256.7
287,HA,sport,sabbat,1.011666667,44.8,55,126,23,25,166.2
288,Zen,mta3 a3res,t-shirt,1.06,64,57,138,25,29,355.9
289,HA,sport,t-shirt,1.031666667,28,55,107,19,22,90.6
290,HA,mta3 a3res,sabbat,1.026666667,40,53,121,22,25,165.4
291,Armani,confy,maryoul,1.02,30.4,59,110,20,22,89.8
292,Zen,formel,maryoul,1.053333333,87.2,59,155,28,33,463.9
293,Bey&Bey,sport,t-shirt,0.993333333,32,61,113,21,23,82
294,HA,classy,t-shirt,1.041666667,105.6,57,166,30,35,580.8
295,Armani,posé,maryoul,1.036666667,112,58,170,30,35,822.3
296,Bey&Bey,sport,kabbout,1.053333333,80.8,59,150,27,32,752.8
297,Armani,formel,maryoul,1.026666667,25.6,61,104,18,21,54
298,Armani,posé,t-shirt,1.021666667,96,58,162,29,33,662.6
299,HA,sport,kabbout,1.048333333,24,55,102,18,21,87.8
300,Zen,mta3 kolyoum,t-shirt,1.013333333,44.8,60,126,23,25,218.8
301,Armani,confy,sabbat,1.021666667,28.8,60,108,19,22,101.3
302,Armani,posé,sabbat,0.991666667,29.6,61,110,20,22,74.9
303,Armani,sport,t-shirt,1.02,28,58,107,19,22,90.6
304,HA,sport,t-shirt,1.03,26.4,56,105,19,21,85.4
305,Armani,mta3 a3res,sabbat,1.011666667,40,58,122,22,25,165.4
306,HA,confy,serwel,1.026666667,83.2,55,154,28,32,516.3
307,HA,sport,socks,1.013333333,20.8,56,97,17,20,64.8
308,Armani,posé,serwel,1.048333333,92,56,159,28,33,495.9
309,Bey&Bey,formel,serwel,1.063333333,166.4,58,190,35,41,1395.6
310,HA,posé,maryoul,1.036666667,144,57,184,33,38,939.9
311,HA,sport,t-shirt,1.041666667,89.6,54,157,28,33,839.4
312,HA,mta3 a3res,serwel,1.036666667,83.2,56,153,28,32,479.7
313,HA,sport,sabbat,1.031666667,47.2,56,127,23,26,205.7
314,Armani,mta3 a3res,kabbout,0.998333333,80,60,154,27,31,860.2
315,Armani,confy,serwel,0.991666667,72,61,149,27,29,308.4
316,Zen,formel,maryoul,1.06,103.2,57,163,29,35,577.1
317,Zen,mta3 kolyoum,maryoul,1.046666667,40,58,119,21,25,141.5
318,HA,confy,t-shirt,1.033333333,24,53,102,18,21,67.3
319,Armani,confy,sabbat,1.03,24.8,59,103,18,21,87.2
320,HA,formel,serwel,1.043333333,78.4,54,150,27,31,387.3
321,HA,confy,sabbat,1.035,41.6,57,123,22,25,161.7
322,Bey&Bey,mta3 a3res,kabbout,1.041666667,42.4,65,121,22,25,228.1
323,Zen,confy,sabbat,1.043333333,27.2,58,105,19,22,74.5
324,HA,classy,serwel,1.038333333,183.2,57,199,36,42,1320
325,Zen,posé,serwel,1.055,198.4,56,204,37,43,1574.6
326,Zen,posé,sabbat,1.05,24.8,57,102,18,21,48.9
327,Armani,sport,jacket,1.036666667,34.4,58,114,20,23,126.4
328,HA,confy,maryoul,1.011666667,27.2,56,107,19,22,59.6
329,Zen,posé,jacket,1.033333333,43.2,57,123,22,25,184.6
330,HA,sport,maryoul,1.043333333,32,55,111,20,23,102
331,HA,confy,jacket,1.033333333,24,57,101,18,21,84.4
332,HA,posé,socks,1.03,27.2,54,107,19,22,86.3
333,HA,mta3 a3res,maryoul,1.031666667,42.4,55,123,22,25,136
334,HA,posé,socks,1.031666667,37.6,56,118,21,24,186.5
335,Bey&Bey,sport,maryoul,1.056666667,28,56,105,19,22,52.2
336,Kontakt,classy,hoodie,1.133333333,144.8,57,176,31,40,585.9
337,Zen,formel,maryoul,1.055,41.6,55,121,22,25,107.3
338,Bey&Bey,confy,sabbat,0.986666667,56,64,137,24,27,255.9
339,Zen,posé,maryoul,1.023333333,56.8,58,135,25,28,207.6
340,HA,mta3 kolyoum,maryoul,1.006666667,27.2,57,107,19,21,62.6
341,HA,classy,maryoul,1.045,57.6,56,136,24,28,192.9
342,HA,mta3 a3res,maryoul,1.033333333,24.8,55.2,102,18,21,51.5
343,Armani,sport,serwel,0.996666667,72.8,58,149,27,30,281.3
344,HA,mta3 a3res,jacket,1.023333333,25.6,56,104,18,21,99
345,Bey&Bey,classy,serwel,0.978333333,56,58,136,25,27,182.4
346,Zen,sport,jacket,1.051666667,80.8,59,152,27,32,741.2
347,HA,mta3 a3res,sabbat,1.031666667,65.6,57,141,25,29,351.4
348,Armani,posé,maryoul,1.035,88,58,156,28,32,435.4
349,Zen,sport,sabbat,1.041666667,30.4,56,108,20,23,77.5
350,Armani,mta3 a3res,t-shirt,1.021666667,45.6,58,127,22,26,191.5
351,Armani,sport,t-shirt,1.035,74.4,59,147,26,30,479.3
352,Zen,posé,jacket,1.033333333,23.2,55,100,18,21,47.8
353,Bey&Bey,sport,t-shirt,0.963333333,38.4,60.9,121,22,23,126.2
354,HA,mta3 kolyoum,maryoul,1.011666667,120.8,59,177,32,36,1264.8
355,HA,sport,sabbat,1.016666667,80.8,56,153,28,31,685.5
356,Zen,confy,sabbat,1.008333333,18.4,58,93,17,19,40.2
357,Bey&Bey,sport,t-shirt,1.065,80,55,149,27,32,592
358,HA,mta3 a3res,serwel,1.005,60.8,60,139,25,28,262.4
359,Armani,sport,serwel,1.036666667,80,57,149,27,31,399.8
360,Armani,mta3 a3res,sabbat,1.018333333,24,59,102,18,21,77.6
361,HA,mta3 kolyoum,serwel,1.01,56,57,136,24,27,282.8
362,Zen,mta3 a3res,jacket,0.996666667,96,63,161,29,32,1191.3
363,Armani,confy,serwel,1.015,24.8,60,103,18,21,55.8
364,Kontakt,posé,serwel,1.086666667,80,54,149,26,32,291.2
365,Zen,classy,sabbat,1.041666667,32,60,110,20,23,59.6
366,HA,mta3 a3res,serwel,1.036666667,93.6,55,159,29,33,555.6
367,Armani,confy,t-shirt,1.013333333,32.8,59,114,20,23,115.3
368,Bey&Bey,confy,sabbat,1.061666667,72,58,143,26,31,394.8
369,HA,confy,jacket,1.025,26.4,56,106,19,22,105.2
370,HA,formel,sabbat,1.036666667,25.6,57,104,19,21,44.9
371,HA,posé,t-shirt,1.045,27.2,55,106,19,22,59.6
372,Kontakt,mta3 a3res,sabbat,0.971666667,52,64,135,24,26,188.1
373,Zen,confy,serwel,1.04,175.2,61,195,35,41,1806.7
374,Bey&Bey,confy,maryoul,0.986666667,56.8,61,137,25,27,265.1
375,HA,posé,serwel,1.011666667,81.6,57,155,28,31,439.8
376,HA,mta3 kolyoum,sabbat,1.01,42.4,57,125,22,25,195.6
377,HA,mta3 kolyoum,serwel,1.04,98.4,56,161,29,34,628.9
378,HA,formel,t-shirt,1.031666667,32,57,112,20,23,73.6
379,HA,classy,serwel,1.031666667,164.8,55,195,35,40,1133.7
380,HA,sport,serwel,1.03,72.8,56,147,27,30,355.7
381,Bey&Bey,sport,jacket,0.985,32,61,115,21,23,101.3
382,HA,formel,jacket,1.045,43.2,57,123,22,26,168.1
